Prefix,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room
ED_AD,"800 Doctoral Research, Dissertation, and/or Examination",01,02532,V,ARRGT,ARR ARR
ED_MTHSC,598 Research Seminar in Mathematics and Science Education,01,02651,1,W16.30-17.30,VUB 311
ED_MTHSC,"800 Doctoral Research, Dissertation, and/or Examination",01,02932,V,ARRGT,ARR ARR
ED_PSYCH,"401 Classroom Assessment, Elementary",01,02596,3,M11.10-14,VUB 225
ED_PSYCH,"401 Classroom Assessment, Elementary",02,15558,3,TU16.30-18.30,ARR ARR
ED_PSYCH,505 Research Methods I,01,03014,3,M17.45-20.30,VMMC 102Q
ED_PSYCH,508 Educational Statistics,01,03159,3,TU17.45-20.30,VECS 209
ED_PSYCH,521 Topics in Educational Psychology,01,15722,3,W17.45-20.30,ARR ARR
ED_RES,"562 Epistemology, Inquiry, and Representation",01,02910,3,TU17.45-20.30,AMS VAN
ED_RES,563 Principles of Research,01,03049,3,M17.45-20.30,AMS VAN
ED_RES,564 Qualitative Research,01,03160,3,TU16.10-19,VMMC 102Q
ED_RES,565 Quantitative Research,01,02854,3,TU17.45-20.30,VECS 309
ED_RES,571 Doctoral Dissertation Preparation,01,02575,3,W17.45-20.30,VECS 120
ED_RES,571 Doctoral Dissertation Preparation,02,13536,3,M17.45-20.30,VUB 311
ENGLISH,100 Introductory College Composition,01,02548,3,"M,W9.10-10.25",VUB 122
ENGLISH,101 [WRTG] College Composition,02,02577,3,"M,W10.35-11.50",VUB 122
ENGLISH,101 [WRTG] College Composition,03,02578,3,"M,W12-13.15",VUB 122
ENGLISH,101 [WRTG] College Composition,04,02882,3,"M,W14.50-16.05",VUB 122
ENGLISH,101 [WRTG] College Composition,06,02946,3,"TU,TH13.25-14.40",VUB 122
ENGLISH,101 [WRTG] College Composition,07,03018,3,"TU,TH14.50-16.05",VUB 122
ENGLISH,102 Writing Tutorial,01,03110,1,M9.10-10,GUC VAN
ENGLISH,102 Writing Tutorial,02,03111,1,M12-12.50,VUB 124
ENGLISH,102 Writing Tutorial,03,03112,1,TU12-12.50,VUB 122
ENGLISH,102 Writing Tutorial,05,03114,1,W9.10-10,GUC VAN
ENGLISH,102 Writing Tutorial,06,03115,1,W12-12.50,VUB 124
ENGLISH,102 Writing Tutorial,08,03117,1,F10.35-11.25,VUB 122
ENGLISH,102 Writing Tutorial,09,03118,1,ARRGT,ARR ARR
ENGLISH,110 [HUM] Reading Now,01,13179,3,TU17.45-20.30,VUB 222
ENGLISH,201 [WRTG] Writing and Research,01,03034,3,"M,W12-13.15",VMMC 23
ENGLISH,202 Grammar in Context,01,02735,1,TU10.35-11.25,VUB 222
ENGLISH,251 Introduction to Creative Writing: Exploring the Genres,01,02549,3,"TU,TH13.30-14.45",AMS VAN
ENGLISH,301 [WRTG] Writing and Rhetorical Conventions,01,02550,3,"TU,TH13.25-14.40",VLIB 201
ENGLISH,302 [M] Introduction to English Studies,02,03215,3,ARRGT,ARR ARR
ENGLISH,305 [HUM] Shakespeare,01,13180,3,"M,W13.25-14.40",VLIB 201
ENGLISH,309 Women Writers,01,13445,3,"TU,TH14.50-16.05",VUB 222
ENGLISH,314 [M] Topics in Asian Pacific American Literature,01,13430,3,"M,W10.35-11.50",VLIB 265
ENGLISH,323 Approaches to the Teaching of English,01,02552,3,"TU,TH16.15-17.30",VUB 122
ENGLISH,325 Young Adult Literature,01,02553,3,"M,W16.15-17.30",VLIB 260
ENGLISH,339 [ARTS] Topics in Film as Literature,01,14786,3,ARRGT,ARR ARR
ENGLISH,339 [ARTS] Topics in Film as Literature,01 Lab,14787,0,ARRGT,ARR ARR
ENGLISH,361 Everyday Rhetorics,01,03173,3,ARRGT,ARR ARR
ENGLISH,"370 The Making of English: Literature, Language and Culture Before 1600",01,02554,3,"TU,TH12.05-13.20",VECS 105
ENGLISH,372 [HUM] 19th Century Literature of the British Empire and the Americas,01,02555,3,"TU,TH13.25-14.40",VLIB 261
ENGLISH,402 [WRTG] [M] Technical and Professional Writing,22,03188,3,ARRGT,ARR ARR
ENGLISH,405 Advanced Professional Writing and Editing,01,15513,3,ARRGT,ARR ARR
ENGLISH,451 [M] Advanced Creative Writing: Fiction,01,02892,3,W17.45-20.30,VLIB 260
ENGLISH,494 [CAPS] [M] Advanced Topics in Literature,01,13427,3,"M,W14.50-16.05",VUB 126
ENGLISH,498 Internship,01,02533,V,ARRGT,ARR ARR
ENGLISH,499 Special Problems,01,02534,V,ARRGT,ARR ARR
ENGLISH,"800 Doctoral Research, Dissertation, and/or Examination",01,03032,V,ARRGT,ARR ARR
ENTRP,485 [M] New Venture Planning,01,02432,3,"M,W10.35-11.50",VUB 222
ENTRP,490 [M] Entrepreneurial Marketing,01,02438,3,"M,W12-13.15",VUB 125
ENTRP,492 [CAPS] Small Business Strategy and Planning,01,02408,3,M11.10-14,VMMC 1
ENTRP,492 [CAPS] Small Business Strategy and Planning,02,02433,3,M18-20.45,VUB 225
ENTRP,499 Special Problems,01,13435,1,"M,W13.25-14.40",VMMC 217
FIN,223 [QUAN] Personal Finance,01,02400,3,"M,W16.15-17.30",VUB 225
FIN,325 Introduction to Financial Management,01,02409,3,"TU,TH10.35-11.50",VECS 104
FIN,325 Introduction to Financial Management,02,02410,3,TU18-20.45,VUB 225
FIN,345 Real Estate,01,02431,3,ARRGT,ARR ARR
FIN,346 Washington Real Estate Regulations,01,13486,1,ARRGT,ARR ARR
FIN,421 Financial Institutions and Intermediation,01,02401,3,"TU,TH13.25-14.40",VMMC 22
FIN,427 [M] Investment Analysis,01,02402,3,TU18-20.45,VMMC 22
FIN,481 [M] International Finance,01,03052,3,TU12-13.15,VUB 225
FINE_ART,102 [ARTS] 2D Art and Design,01,02959,3,"M,W14.10-16.50",VMMC 103
FINE_ART,102 [ARTS] 2D Art and Design,02,03091,3,"TU,TH12-14.40",VMMC 103
FINE_ART,103 [ARTS] 3D Art and Design,01,02960,3,"TU,TH9.10-11.50",VMMC 107
FINE_ART,110 [ARTS] Drawing,01,02961,3,"M,W12-14.40",VMMC 107
FINE_ART,201 [ARTS] World Art History I,01,02579,3,"TU,TH13.25-14.40",VUB 121
FINE_ART,305 [ARTS] [M] Arts of Ancient Greece and Rome,01,13423,3,"TU,TH10.35-11.50",VUB 221
FINE_ART,370 Introduction to Printmaking,01,13425,3,"TU,TH14.50-17.30",VMMC 103
FINE_ART,498 [CAPS] [M] Contemporary Issues Seminar,01,13424,3,"M,W10.35-11.50",VMMC 103
FINE_ART,499 Special Problems,01,02880,V,ARRGT,ARR ARR
FOR_LANG,120 [DIVR] Introduction to Foreign Cultures,01,02974,3,"TU,TH9.10-10.25",GUC VAN
FOR_LANG,410 [CAPS] Advanced Topics in Global Cinema,01,02851,3,ARRGT,ARR ARR
FRENCH,110 [HUM] French/Francophone Film,01,13592,3,ARRGT,ARR ARR
H_D,205 [COMM] Developing Effective Communication and Life Skills,01,02890,4,"M,W10.35-11.50",VDEN 129
H_D,205 [COMM] Developing Effective Communication and Life Skills,01 Lab,02926,0,ARRGT,ARR ARR
H_D,220 Human Development Theories,01,02718,3,"M,W13.25-14.40",VUB 121
H_D,300 Child Maltreatment,01,02856,3,"M,W10.35-11.50",VMMC 217
H_D,301 Family Stress and Coping,01,02956,3,"TU,TH16.15-17.30",VMMC 16
H_D,310 [M] Research Methods,01,02557,3,"M,W9.10-10.25",VLIB 265
H_D,334 [SSCI] Principles of Community Development,01,12975,3,"M,W14.50-16.05",VMMC 217
H_D,341 Guidance in Early Childhood Programs,01,13816,3,ARRGT,""
H_D,342 Curriculum for Early Childhood Programs,01,02939,4,ARRGT,ARR ARR
H_D,342 Curriculum for Early Childhood Programs,01 Lab,02940,0,ARRGT,ARR ARR
H_D,350 [DIVR] Family Diversity,01,02715,3,"TU,TH12-13.15",VMMC 6
H_D,385 Perspectives in Human Services,01,02559,3,"TU,TH9.10-10.25",VMMC 217
H_D,406 Work and Family,01,02717,3,"TU,TH14.50-16.05",VMMC 217
H_D,445 Early Childhood Professional Preparation Seminar,01,13823,3,ARRGT,""
H_D,479 Planning and Evaluation in Human Development,01,12976,3,"M,W13.25-14.40",VMMC 214
H_D,485 Participation in Human Development Research,01,02531,V,ARRGT,ARR ARR
H_D,495 Instructional Practicum,01,02530,V,ARRGT,ARR ARR
H_D,498 Field Placement,01,02529,V,ARRGT,ARR ARR
H_D,499 Special Problems,01,02931,V,ARRGT,ARR ARR
HBM,101 Professional and Career Development for the Business World,01,03181,1,"W,F9.10-10.25",VMMC 1
HBM,101 Professional and Career Development for the Business World,02,14815,1,"W,F9.10-10.25",VMMC 1
HBM,301 Introduction to Event Planning,01,14758,3,ARRGT,ARR ARR
HBM,381 [M] Hospitality Leadership and Organizational Behavior,01,03051,3,"TU,TH12-13.15",VMMC 23
HBM,491 Operational Analysis,01,02403,3,"TU,TH14.50-16.05",VMMC 219
HBM,494 [M] Service Operations Management,01,02404,3,"TU,TH13.25-14.40",VUB 221
HISTORY,101 [HUM] Classical and Christian Europe,01,12757,3,ARRGT,ARR ARR
HISTORY,105 [ROOT] The Roots of Contemporary Issues,01,02560,3,ARRGT,ARR ARR
HISTORY,105 [ROOT] The Roots of Contemporary Issues,02,02561,3,"TU,TH12-13.15",VMMC 219
HISTORY,105 [ROOT] The Roots of Contemporary Issues,04,02839,3,ARRGT,ARR ARR
HISTORY,105 [ROOT] The Roots of Contemporary Issues,06,02969,3,"M,W12-13.15",VLIB 265
HISTORY,105 [ROOT] The Roots of Contemporary Issues,07,12756,3,"M,W13.25-14.40",VMMC 219
HISTORY,150 [DIVR] Peoples of the United States,01,12758,3,ARRGT,ARR ARR
HISTORY,275 [DIVR] Introduction to East Asian Culture,01,03043,3,"M,W10.35-11.50",VLIB 261
