Prefix,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room
TCH_LRN,490 [CAPS] Advanced Practicum for Elementary Teachers,02,12749,3,M14.10-16.30,VUB 222
TCH_LRN,490 [CAPS] Advanced Practicum for Elementary Teachers,03,15951,3,M18.40-19.55,ARR ARR
TCH_LRN,512 Language and Cultural Factors in Mathematics,01,12925,3,TH16.20-19.05,VECS 122
TCH_LRN,544 Teaching Children's and Young Adult Literature,01,13977,3,W17.15-20,AMS VAN
TCH_LRN,584 Research in Teaching Mathematics and Science,01,12924,3,W17.45-20.30,VECS 309
TCH_LRN,600 Special Projects or Independent Study,01,02652,4,ARRGT,ARR ARR
UNIV,104 First-Year Success Seminar,01,02826,2,F12-13.50,VDEN 110
UNIV,104 First-Year Success Seminar,02,02828,2,F12-13.50,VUB 222
UNIV,104 First-Year Success Seminar,03,02921,2,F12-13.50,VUB 107
UNIV,104 First-Year Success Seminar,04,02922,2,F12-13.50,VUB 221
UNIV,104 First-Year Success Seminar,05,02923,2,F12-13.50,VUB 121
UNIV,104 First-Year Success Seminar,06,03002,2,F12-13.50,VUB 125
UNIV,104 First-Year Success Seminar,07,14824,2,F12-13.50,VLIB 261
UNIV,104 First-Year Success Seminar,08,14825,2,F12-13.50,VLIB 265
UNIV,104 First-Year Success Seminar,09,15488,2,TU14.50-16.05,VMMC 214
UNIV,104 First-Year Success Seminar,10,15489,2,TU14.50-16.05,VUB 226
UNIV,300 Accessing Information for Research,01,02751,1,ARRGT,ARR ARR
UNIV,301 Career Exploration and Professional Development,01,13541,1,M16.15-17.05,VLIB 261
UNIV,301 Career Exploration and Professional Development,03,15565,1,M16.15-17.05,VLIB 265
UNIV,304 Transfer Student Seminar,01,14860,2,F12-13.50,VLIB 264
UNIV,398 Internship,01,02657,V,ARRGT,ARR ARR
UNIV,398 Internship,02,03197,V,ARRGT,ARR ARR
WOMEN_ST,"101 [DIVR] Introduction to Women's, Gender, and Sexuality Studies",01,02958,3,"TU,TH10.35-11.50",VMMC 217
WOMEN_ST,309 Women Writers,01,13441,3,"TU,TH14.50-16.05",VUB 222
WOMEN_ST,316 [DIVR] Gender in Cross Cultural Perspective,02,03135,3,ARRGT,ARR ARR
WOMEN_ST,351 [DIVR] The Family,01,02630,3,M10.35-11.50,VMMC 16
WOMEN_ST,384 Sociology of Gender,01,13440,3,"M,W12-13.15",VMMC 6
WOMEN_ST,"399 [DIVR] Lesbian and Gay History: Culture, Politics and Social Change in the US",01,13439,3,"M,W9.10-10.25",VLIB 201
WRIT,103 Writing Collaborative for History 105 or 305,01,03225,1,TH13.25-14.15,VUB 126
WRIT,103 Writing Collaborative for History 105 or 305,02,03226,1,F12-12.50,VUB 124
WRIT,103 Writing Collaborative for History 105 or 305,03,03227,1,ARRGT,ARR ARR
WRIT,302 Advanced Writing Collaborative,01,03120,1,W13.25-14.15,VUB 124
WRIT,302 Advanced Writing Collaborative,02,03121,1,TH10.35-11.25,VUB 222
WRIT,302 Advanced Writing Collaborative,03,03122,1,ARRGT,ARR ARR
