Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Instructor
BIOLOGY,324,Comparative Vertebrate Anatomy,02 Lab,04697,0,"M,W14.10-17",WEB ARR,E Johnson
BIOLOGY,330,Principles of Conservation,01,04698,3,"TU,TH14.55-16.10",WEB ARR,P Verrell
BIOLOGY,332,[M] Systematic Botany,01,04699,4,"M,W,F13.10-14",WEB ARR,E Roalson
BIOLOGY,332,[M] Systematic Botany,01 Lab,08927,0,TU12.10-15,WEB ARR,E Roalson
BIOLOGY,332,[M] Systematic Botany,02 Lab,08928,0,TU15.10-18,WEB ARR,E Roalson
BIOLOGY,333,[BSCI] Human Nutrition and Health,01,04700,3,"M,W,F14.10-15",WEB ARR,K Beerman
BIOLOGY,340,Introduction to Mathematical Biology,01,04760,3,"M,W,F12.10-13",WEB ARR,E Schwartz
BIOLOGY,353,Advanced Human Physiology,01,04701,4,"M,W,F11.10-12",WEB ARR,H Schwabl
BIOLOGY,353,Advanced Human Physiology,01 Lab,04702,0,TH13.30-16.20,WEB ARR,H Schwabl
BIOLOGY,353,Advanced Human Physiology,02 Lab,04703,0,W13.10-16,WEB ARR,H Schwabl
BIOLOGY,353,Advanced Human Physiology,03 Lab,04704,0,TH7.45-10.35,WEB ARR,H Schwabl
BIOLOGY,353,Advanced Human Physiology,04 Lab,04705,0,TU13.30-16.20,WEB ARR,H Schwabl
BIOLOGY,353,Advanced Human Physiology,05 Lab,08724,0,W17.10-20,WEB ARR,H Schwabl
BIOLOGY,353,Advanced Human Physiology,06 Lab,09627,0,TH18.10-21,WEB ARR,H Schwabl
BIOLOGY,372,[M] General Ecology,01,04706,4,"TU,TH9.10-10.25",WEB ARR,H Mcisaac
BIOLOGY,372,[M] General Ecology,01 Lab,04707,0,TU12.05-14.55,WEB ARR,H Mcisaac
BIOLOGY,372,[M] General Ecology,02 Lab,04708,0,TU14.55-17.45,WEB ARR,H Mcisaac
BIOLOGY,372,[M] General Ecology,03 Lab,04709,0,W15.10-18,WEB ARR,H Mcisaac
